y;x1;x2;x3;x4;x5
9.7;1.59;0.26;2.05;0.32;0.14
8.4;0.34;0.28;0.46;0.59;0.66
9;2.53;0.31;2.46;0.3;0.31
9.9;4.63;0.4;6.44;0.43;0.59
9.6;2.16;0.26;2.16;0.39;0.16
8.6;2.16;0.3;2.69;0.32;0.17
12.5;0.68;0.29;0.73;0.42;0.23
7.6;0.35;0.26;0.42;0.21;0.08
6.9;0.52;0.24;0.49;0.2;0.08
13.5;3.42;0.31;3.02;1.37;0.73
9.7;1.78;0.3;3.19;0.73;0.17
10.7;2.4;0.32;3.3;0.25;0.14
12.1;9.36;0.4;11.51;0.39;0.38
9.7;1.72;0.28;2.26;0.82;0.17
7;0.59;0.29;0.6;0.13;0.35
7.2;0.28;0.26;0.3;0.09;0.15
8.2;1.64;0.29;1.44;0.2;0.08
8.4;0.09;0.22;0.05;0.43;0.2
13.1;0.08;0.25;0.03;0.73;0.2
8.7;1.36;0.26;0.17;0.99;0.42
